Tamm,5180
Saar,4306
Mägi,3565
Sepp,3550
Kask
Kukk
Rebane
Ilves
Pärn
Koppel
Luik
Oja
Kaasik
Lepik
Raudsepp
Kuusk
Karu
Kütt
Põder
Vaher
